etat,marque,annee,adresse,prix_F_Cfa,image_url
Neuf,Lifan,2024,"Sicap Liberté, Dakar",1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bdb530ee40e00e73eb8449ee939a5c11/-/horizon-files-prod/ed/picture/q448ej78/cf8b42b55d405814f16003e97961e1f3798c2419.jpg
Neuf,Autre,2025,"Grand-Yoff, Dakar",45000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bdb530ee40e00e73eb8449ee939a5c11/-/horizon-files-prod/ed/picture/q448ej78/cf8b42b55d405814f16003e97961e1f3798c2419.jpg
Neuf,Honda,2018,"Guediawaye, Dakar",850000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bdb530ee40e00e73eb8449ee939a5c11/-/horizon-files-prod/ed/picture/q448ej78/cf8b42b55d405814f16003e97961e1f3798c2419.jpg
Neuf,Yamaha,2021,"Fann, Dakar",2000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bdb530ee40e00e73eb8449ee939a5c11/-/horizon-files-prod/ed/picture/q448ej78/cf8b42b55d405814f16003e97961e1f3798c2419.jpg
D'occasion,Autre,2025,"Dieuppeul, Dakar",550000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bdb530ee40e00e73eb8449ee939a5c11/-/horizon-files-prod/ed/picture/q448ej78/cf8b42b55d405814f16003e97961e1f3798c2419.jpg
Venant,BMW,2023,"Dieuppeul, Dakar",4900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bdb530ee40e00e73eb8449ee939a5c11/-/horizon-files-prod/ed/picture/q448ej78/cf8b42b55d405814f16003e97961e1f3798c2419.jpg
Venant,BMW,2023,"Dieuppeul, Dakar",5900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bdb530ee40e00e73eb8449ee939a5c11/-/horizon-files-prod/ed/picture/q448ej78/cf8b42b55d405814f16003e97961e1f3798c2419.jpg
Venant,Honda,2020,"Hann maristes, Dakar",3200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bdb530ee40e00e73eb8449ee939a5c11/-/horizon-files-prod/ed/picture/q448ej78/cf8b42b55d405814f16003e97961e1f3798c2419.jpg
Venant,Honda,2018,"Hann maristes, Dakar",2900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bdb530ee40e00e73eb8449ee939a5c11/-/horizon-files-prod/ed/picture/q448ej78/cf8b42b55d405814f16003e97961e1f3798c2419.jpg
Venant,BMW,2023,"Hann maristes, Dakar",6800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bdb530ee40e00e73eb8449ee939a5c11/-/horizon-files-prod/ed/picture/q448ej78/cf8b42b55d405814f16003e97961e1f3798c2419.jpg
Venant,Aprilia,2016,"Guediawaye, Dakar",650000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bdb530ee40e00e73eb8449ee939a5c11/-/horizon-files-prod/ed/picture/q448ej78/cf8b42b55d405814f16003e97961e1f3798c2419.jpg
