web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,detail,etat,adresse,prix,image_lien-src,description
"1738613738-347","https://www.expat-dakar.com/equipements-pieces?page=8","Vente de pièces détachées moteur et boite
                                Venant
                                                                                    Nord foire,
                                                                                Dakar
                                    
                                        11. janv., 16:12
                                    
                    1 F Cfa
                        
                        761824222","https://www.expat-dakar.com/annonce/vente-de-pieces-detachees-moteur-et-boite-6235165","Vente de pièces détachées moteur et boite","Venant","Nord foire
            
                Dakar","1 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/8b8c66fcd205093ec407b6e305c5accf/-/horizon-files-prod/ed/picture/qzvpq55q/0f3d6f31bae169ad134466c0675846d24f77f900.jpg","Besoin d'un moteur ou d'une transmission pour votre FORD, Hyundai, Kia, Chevrolet ou Nissan Rogue ? Nous avons ce qu'il vous faut ! Grand choix de pièces USAGÉES de qualité, importées directement des États-Unis. Sur commande : trouvez la pièce rare dont vous avez besoin. Livraison rapide et sécurisée. #piecesauto #moteurs #transmissions #occasion #USA #FORD #Hyundai #Kia #Chevrolet #NissanRogue #mecanique #automobile"
"1738613746-1","https://www.expat-dakar.com/equipements-pieces?page=41","Chargeur de batterie pour voiture 12V/24V
                                Neuf
                                                                                    Mbour,
                                                                                Thiès
                                    
                                        16. déc. '24, 05:54
                                    
                    45 000 F Cfa
                        
                        774086089
                    
                        778540224","https://www.expat-dakar.com/annonce/chargeur-de-batterie-pour-voiture-12v24v-3332329","Chargeur de batterie pour voiture 12V/24V","Neuf","Mbour
            
                Thiès","45 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4e543986361e7568cd243deeef8a6070/-/horizon-files-prod/ed/picture/qqx2mpv/6a3463f4505165e6cdaa2792b3f929a4a4505a6b.jpg","Chargeur de batterie marque allemande. Pour batterie de voiture 12V et 24V et d'une capacité  de 20 à 300 Ah.

Protection contre l'inversion de polarité,  les coûts circuits et les surcharges.

Commande intelligente à microprocesseur

8 programmes de charge entièrement automatique."
"1738613746-348","https://www.expat-dakar.com/equipements-pieces?page=8","Filtre à huile Ssangyong Tivoli 1.6
                                Neuf
                                                                                    Guediawaye,
                                                                                Dakar
                                    
                                        10. janv., 23:59
                                    
                    15 000 F Cfa
                        
                        774468349","https://www.expat-dakar.com/annonce/filtre-a-huile-ssangyong-tivoli-16-6252890","Filtre à huile Ssangyong Tivoli 1.6","Neuf","Guediawaye
            
                Dakar","15 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7307720e028274130708e3aed02385c9/-/horizon-files-prod/ed/picture/qv4wrdwg/302519559870d15dbaa1b795971468f456d0db1d.jpg","Filtre à Huile Auto pour SsangYong pour KORANDO C300 1.6 pour REXTON Y400 2.0 pour Tivoli 160 XLV D16DTF Moteur G20DTR 67318-03009 10 pièces Filtre à Huile Filtres à Huile pour Auto"
"1738613757-2","https://www.expat-dakar.com/equipements-pieces?page=41","Aspirateur Multifonction 4 en 1 Pour Voiture
                                Neuf
                                                                                    Hann Bel-Air,
                                                                                Dakar
                                    
                                        10. déc. '24, 16:50
                                    
                    45 000 F Cfa
                        
                        775160371
                    
                        784319494","https://www.expat-dakar.com/annonce/aspirateur-multifonction-4-en-1-pour-voiture-3453442","Aspirateur Multifonction 4 en 1 Pour Voiture","Neuf","Hann Bel-Air
            
                Dakar","45 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/76f91b4c2e9ef0d491da0b07b05f18c1/-/horizon-files-prod/ed/picture/qezkpvz/afdd4e60772471e3ccf59eca9825fd7ba9663aa8.jpg","Le moteur puissant fournit une puissance d'aspiration de 6000pa. Cordon à contenir. Permet de nettoyer facilement la banquette arrière. Petit et léger. Pratique à transporter et à ranger."
"1738613757-349","https://www.expat-dakar.com/equipements-pieces?page=8","Siège Évolutif Britax
                                Venant
                                                                                    Hann maristes,
                                                                                Dakar
                                    
                                        11. janv., 03:27
                                    
                    65 000 F Cfa
                        
                        706921414","https://www.expat-dakar.com/annonce/siege-evolutif-britax-6252925","Siège Évolutif Britax","Venant","Hann maristes
            
                Dakar","65 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c1a7c43fb571e310742ce9711b8c78d9/-/horizon-files-prod/ed/picture/q0g76kke/2b6fd3b58879c98735d944e252b28baf1bfdc3d6.jpg","Siège auto évolutif super confort, 0 à 8ans - système de fixation isofix -

Inclinaison en mode couché pour votre nouveau né et ajuster progressivement l'angle en mode assis au fur et à mesure que votre enfant grandit."
"1738613767-3","https://www.expat-dakar.com/equipements-pieces?page=41","Aspirateur Multifonction 4 en 1
                                Neuf
                                                                                    Hann Bel-Air,
                                                                                Dakar
                                    
                                        10. déc. '24, 16:50
                                    
                    35 000 F Cfa
                        
                        775160371
                    
                        784319494","https://www.expat-dakar.com/annonce/aspirateur-multifonction-4-en-1-3453444","Aspirateur Multifonction 4 en 1","Neuf","Hann Bel-Air
            
                Dakar","35 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/98fb1f1948a09b9c9bf3209e013a163b/-/horizon-files-prod/ed/picture/q68jrdj/46ffe3ae2324a86033bac598addd3c9398af2502.jpg","Polyvalence et forte aspiration: aspirateur de voiture 12v 120w, aspiration super puissante, supporte une utilisation sèche et humide, peut facilement ramasser la poussière, les miettes, les poils d'animaux, les liquides et plus encore. équipé de 3 types d'accessoires différents pour bien nettoyer toutes les zones de votre maison ou de votre voiture. Idéal pour une variété d'applications, peut être utilisé pour le nettoyage de voitures."
"1738613768-350","https://www.expat-dakar.com/equipements-pieces?page=8","HUILE EDGE
                                Neuf
                                                                                    Médina,
                                                                                Dakar
                                    
                                        13. janv., 09:36
                                    
                    40 000 F Cfa
                        
                        781803232
                    
                        776132532
                    
                        776132532","https://www.expat-dakar.com/annonce/huile-edge-6051049","HUILE EDGE","Neuf","Médina
            
                Dakar","40 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/aa1e6ac30c490ec937506a0c8fa1d3e3/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/qngx67xv/11057b3da6dc8b1ac9902900834b07d39a2f16ac.jpg","Huile castrol egde provenant des Etat-Unis 100% synthétique."
"1738613778-4","https://www.expat-dakar.com/equipements-pieces?page=41","Matelas auto de voyage
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        18. nov. '24, 11:02
                                    
                    35 000 F Cfa
                        
                        776906464","https://www.expat-dakar.com/annonce/matelas-auto-de-voyage-3608980","Matelas auto de voyage","Neuf","Plateau
            
                Dakar","35 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a60e1569b8e072f038f9e17d6783a67e/-/horizon-files-prod/ed/picture/qkkxwvv/67f4646ddb5a973c3c0619d035a46ea661bcacf3.jpg","Matelas auto de voyage"
"1738613779-351","https://www.expat-dakar.com/equipements-pieces?page=8","Vente pneu neuf et venant à des prix abordables.
                                Neuf
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        14. janv., 07:39
                                    
                    50 000 F Cfa
                        
                        773893461","https://www.expat-dakar.com/annonce/vente-pneu-neuf-et-venant-a-des-prix-abordables-6254791","Vente pneu neuf et venant à des prix abordables.","Neuf","Ouakam
            
                Dakar","50 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/5a6bc7ad78777f15d4c03fd437f68361/-/horizon-files-prod/ed/picture/q0g76d26/b2dd6ea262664838b11fea8844270ad73437f844.jpg","Vous cherchez des pneus performants, durables et adaptés à votre véhicule ? Nous avons ce qu'il vous faut ! Notre boutique vous propose un large choix de pneus neufs et d'occasion soigneusement sélectionnés, répondant à tous les budgets et besoins.

Pourquoi nous choisir ?

• Pneus neufs : Des modèles récents des meilleures marques, garantissant sécurité, adhérence et longévité.Livraison possible"
"1738613784-352","https://www.expat-dakar.com/equipements-pieces?page=8","Bache voiture 4x4 et SUV imperméable et doublé en coton
                                Neuf
                                                                                    Grand-Dakar,
                                                                                Dakar
                                    
                                        14. janv., 14:03
                                    
                    25 000 F Cfa
                        
                        782963838
                    
                        762963434
                    
                        771874229","https://www.expat-dakar.com/annonce/bache-voiture-4x4-et-suv-impermeable-et-double-en-coton-3911868","Bache voiture 4x4 et SUV imperméable et doublé en coton","Neuf","Grand-Dakar
            
                Dakar","25 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2941eb18ab9558f0e47cc7a159565d34/-/horizon-files-prod/ed/picture/qvjrkkw/d25057bf76f98556a946f6ddebb077be1d86009e.png","Couvre-voiture en pvc extrêmement imperméable à l'eau .ce Bâche est fabriqué à partir de la technologie des coutures ultrasonique pour éviter les trous d'épingle et empêche l'eau de s'infiltrer dans la couture. C'est une housse de protection respirant,imperméable et doublé à l'intérieur de coton doux.

La Bâche est légère et ne pèse pas plus 5kg dans son emballage.

Ces Bâches sont très utiles dans cette période d'hivernage,de poussière,de pluie,de soleil

Les prix commencent à partir du prix affiché

Livraison possible partout au senegal"
